driverId,fullname,wins,Nationality,Championships,Pole_Positions,Race_Wins,Podiums,Fastest_Laps,Points,Active,Decade,Pole_Rate,Start_Rate,Win_Rate,Podium_Rate,FastLap_Rate,Points_Per_Entry,Years_Active,Champion
231,James Hunt,10,United Kingdom,1,14,10,23,8,179,False,1980,0.15053763440860216,0.989247311827957,0.10752688172043012,0.24731182795698925,0.08602150537634409,1.924731182795699,7,True
289,Graham Hill,14,United Kingdom,2,13,14,36,10,270,False,1970,0.07262569832402235,0.9832402234636872,0.0782122905027933,0.2011173184357542,0.05586592178770949,1.5083798882681565,18,True
304,Denny Hulme,8,New Zealand,1,1,8,33,9,248,False,1970,0.008928571428571428,1,0.07142857142857142,0.29464285714285715,0.08035714285714286,2.2142857142857144,10,True
328,Jackie Stewart,27,United Kingdom,3,17,27,43,15,359,False,1970,0.17,0.99,0.27,0.43,0.15,3.59,9,True
341,John Surtees,6,United Kingdom,1,8,6,24,10,180,False,1970,0.07079646017699115,0.9823008849557522,0.05309734513274336,0.21238938053097345,0.08849557522123894,1.592920353982301,13,True
356,Jack Brabham,14,Australia,3,13,14,31,12,253,False,1960,0.1015625,0.984375,0.109375,0.2421875,0.09375,1.9765625,16,True
358,Jochen Rindt,6,Austria,1,10,6,13,3,107,False,1970,0.16129032258064516,0.967741935483871,0.0967741935483871,0.20967741935483872,0.04838709677419355,1.7258064516129032,7,True
373,Jim Clark,25,United Kingdom,2,33,25,32,28,255,False,1960,0.4520547945205479,0.9863013698630136,0.3424657534246575,0.4383561643835616,0.3835616438356164,3.493150684931507,9,True
403,Phil Hill,3,United States,1,6,3,16,6,94,False,1960,0.1153846153846154,0.9423076923076924,0.057692307692307696,0.3076923076923077,0.1153846153846154,1.807692307692308,8,True
578,Mike Hawthorn,3,United Kingdom,1,4,3,18,6,112.64,False,1960,0.0851063829787234,0.9574468085106383,0.06382978723404255,0.3829787234042553,0.1276595744680851,2.3965957446808512,7,True
642,Nino Farina,5,Italy,1,5,5,20,5,115.33,False,1950,0.14705882352941177,0.9705882352941176,0.14705882352941177,0.5882352941176471,0.14705882352941177,3.392058823529412,6,True
647,Alberto Ascari,13,Italy,2,14,13,17,12,107.64,False,1950,0.42424242424242425,0.9696969696969696,0.3939393939393939,0.5151515151515151,0.3636363636363637,3.2618181818181817,6,True
830,Max Verstappen,63,Netherlands,2,21,36,78,21,2036.5,True,2020,0.12804878048780488,1,0.2195121951219512,0.47560975609756095,0.12804878048780488,12.417682926829269,8,True
