fullname,year,WDC_year,name.x,total_driver_wins,total_races,cons_winner,total_constructor_wins,prop_dr_wins,prop_cons_wins
Nelson Piquet,1983,TRUE,Brabham,3,15,Renault,4,0.2,0.26666666666666666
Nelson Piquet,1987,TRUE,Williams,3,16,Williams,9,0.1875,0.5625
Nico Rosberg,2016,TRUE,Mercedes,9,21,Mercedes,19,0.42857142857142855,0.9047619047619048
Nigel Mansell,1992,TRUE,Williams,9,16,Williams,9,0.5625,0.5625
Niki Lauda,1975,TRUE,Ferrari,5,14,Ferrari,6,0.35714285714285715,0.42857142857142855
Niki Lauda,1977,TRUE,Ferrari,3,17,Team Lotus,5,0.17647058823529413,0.29411764705882354
Niki Lauda,1984,TRUE,McLaren,5,16,McLaren,12,0.3125,0.75
Nino Farina,1950,TRUE,Alfa Romeo,3,7,NA,NA,0.42857142857142855,NA
Phil Hill,1961,TRUE,Ferrari,2,8,Ferrari,5,0.25,0.625
Sebastian Vettel,2010,TRUE,Red Bull,5,19,Red Bull,9,0.2631578947368421,0.47368421052631576
Sebastian Vettel,2011,TRUE,Red Bull,11,19,Red Bull,11,0.5789473684210527,0.5789473684210527
Sebastian Vettel,2012,TRUE,Red Bull,5,20,McLaren,7,0.25,0.35
Sebastian Vettel,2012,TRUE,Red Bull,5,20,Red Bull,7,0.25,0.35
Sebastian Vettel,2013,TRUE,Red Bull,13,19,Red Bull,13,0.6842105263157895,0.6842105263157895
